停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
210.0,844.6133333333333,0.1443443125029886,1,3,3,4,4,3,5,3,4,1,3,2,1,3,3,3,1,3,2,3,2,2,1,1,1,2,2,2,1,3,3,3,1,3,0,2.25,3.5,4.0
341.0,693.9551569506726,0.2184331108553726,3,2,2,1,2,3,4,2,3,2,4,3,1,2,4,1,2,4,2,1,2,2,1,1,1,3,4,2,1,2,5,2,1,1,1,3.75,2.25,2.25
330.5,736.344,0.194076222250397,3,1,3,3,4,3,2,3,2,1,2,1,2,2,2,2,2,2,2,3,1,2,1,1,1,2,2,2,1,3,1,2,1,3,1,1.25,1.5,2.0
214.0,791.9642857142857,0.1806607162945693,3,2,3,4,4,2,3,3,4,1,3,1,1,2,3,2,1,4,2,3,1,3,1,1,2,4,2,5,1,2,4,2,1,2,0,1.0,2.0,2.0
379.5,686.692,0.2352341821491473,3,2,4,3,3,2,5,4,5,5,4,4,3,2,2,5,3,5,2,1,3,4,1,1,3,3,4,4,1,2,5,3,3,5,0,4.25,4.5,5.0
400.0,646.7510204081633,0.1975219747927236,3,1,2,1,2,1,5,2,5,5,4,4,2,3,4,3,3,4,5,2,4,3,2,2,1,5,4,3,3,2,3,4,2,1,1,3.5,4.0,4.0
317.0,679.37339055794,0.2408985775840361,3,4,2,3,2,3,2,2,3,3,4,3,2,2,3,3,2,3,2,2,2,2,2,1,1,4,2,3,1,1,2,2,3,4,0,1.0,1.5,1.75
305.0,826.9620853080569,0.153739323162431,3,3,3,5,4,2,3,5,2,1,2,1,1,1,3,4,1,3,1,5,2,2,1,1,1,1,2,2,1,3,3,1,2,5,0,1.25,3.25,1.0
365.0,709.6926605504588,0.2385144994271811,1,5,5,5,5,5,5,5,5,1,1,4,1,1,2,1,1,5,3,5,1,2,1,1,1,1,3,1,3,5,2,1,1,5,0,1.25,1.0,1.0
267.5,698.4033613445379,0.2006349239495171,2,2,4,5,2,2,2,3,4,2,2,1,1,2,2,3,2,3,2,4,2,3,1,1,1,1,2,2,1,3,2,1,1,4,0,1.0,1.0,1.0
